iter	Passed	Remaining
399	67435	16858
400	67675	16707
401	67972	16570
402	68248	16427
403	68503	16277
404	68822	16143
405	69093	15997
406	69344	15845
407	69606	15695
408	69854	15542
409	70079	15383
410	70286	15220
411	70545	15068
412	70838	14922
413	71073	14764
414	71317	14607
415	71551	14447
416	71764	14284
417	71970	14118
418	72225	13962
419	72426	13795
420	72624	13627
421	72841	13463
422	73048	13297
423	73226	13125
424	73423	12957
425	73613	12787
426	73796	12616
427	74000	12448
428	74248	12288
429	74455	12120
430	74653	11951
431	74870	11785
432	75079	11617
433	75271	11446
434	75480	11278
435	75681	11109
436	75935	10947
437	76126	10775
438	76324	10605
439	76533	10436
440	76712	10263
441	76906	10091
442	77099	9920
443	77299	9749
444	77495	9578
445	77716	9409
446	78016	9250
447	78269	9084
448	78472	8913
449	78679	8742
450	78883	8570
451	79079	8397
452	79272	8224
453	79589	8064
454	79804	7892
455	80023	7721
456	80224	7548
457	80454	7377
458	80682	7206
459	80869	7032
460	81075	6858
461	81284	6685
462	81485	6511
463	81692	6338
464	81897	6164
465	82120	5991
466	82364	5820
467	82564	5645
468	82751	5469
469	82952	5294
470	83182	5121
471	83383	4946
472	83594	4771
473	83808	4597
474	84020	4422
475	84226	4246
476	84435	4071
477	84629	3895
478	84836	3719
479	85039	3543
480	85237	3366
481	85429	3190
482	85634	3014
483	85838	2837
484	86121	2663
485	86342	2487
486	86542	2310
487	86740	2132
488	86936	1955
489	87233	1780
490	87429	1602
491	87630	1424
492	87854	1247
493	88077	1069
494	88266	891
495	88485	713
496	88708	535
497	88907	357
498	89106	178
499	89298	0
