iter	Logloss
0	0.6650480126
1	0.6373685758
2	0.6153804498
3	0.5911057276
4	0.5741458659
5	0.5540044296
6	0.5422053865
7	0.5300884328
8	0.5155956836
9	0.5057292256
10	0.4952411637
11	0.4826727131
12	0.4719539711
13	0.4614947672
14	0.4540730339
15	0.4473149097
16	0.4366790585
17	0.4302832453
18	0.4247651275
19	0.4181394021
20	0.4102106995
21	0.4026275885
22	0.3978650298
23	0.3908358139
24	0.3864838654
25	0.3825284645
26	0.37704737
27	0.3737337818
28	0.3710855926
29	0.3660831419
30	0.3621714892
31	0.3600785263
32	0.3572053996
33	0.3544514668
34	0.3497003252
35	0.3460363364
36	0.3430579237
37	0.3388895145
38	0.3355519656
39	0.3334081999
40	0.3309501371
41	0.3290867359
42	0.3254919176
43	0.3217968497
44	0.3188416509
45	0.3167350349
46	0.3153506005
47	0.3133094677
48	0.3121455262
49	0.3093650042
50	0.3082203288
51	0.3065122546
52	0.3058871738
53	0.3046643177
54	0.3035498539
55	0.3026913668
56	0.3015561661
57	0.3007566267
58	0.2990185404
59	0.2982802582
60	0.2953262926
61	0.2941561112
62	0.2935979481
63	0.2922348863
64	0.2915024041
65	0.291183123
66	0.2909316176
67	0.2903162585
68	0.2895788994
69	0.288506335
70	0.2879300806
71	0.2870446423
72	0.2864018153
73	0.2854903141
74	0.28524974
75	0.2846266221
76	0.2839996929
77	0.2835857462
78	0.2828271509
79	0.2827981514
80	0.2825172933
81	0.2820384807
82	0.2815641701
83	0.2798853109
84	0.2793842138
85	0.279076121
86	0.2785574986
87	0.2770282946
88	0.2765892431
89	0.2758429544
90	0.2745949736
91	0.2741728211
92	0.2734443051
93	0.2724896736
94	0.2724281956
95	0.2720477141
96	0.2718062946
97	0.2715066976
98	0.2705389285
99	0.2705237256
100	0.2702268625
101	0.2699092164
102	0.2693302762
103	0.2691361499
104	0.2674780634
105	0.2673032363
106	0.2668686089
107	0.2661121205
108	0.2661003809
109	0.2660825781
110	0.2655470892
111	0.2653768435
112	0.2653124232
113	0.265012108
114	0.2648015458
115	0.2646878817
116	0.2642903524
117	0.2637692763
118	0.2632216133
119	0.2626493766
120	0.2620727607
121	0.2619287886
122	0.2617151999
123	0.2616889588
124	0.261040833
125	0.260569057
126	0.2605176215
127	0.2604156928
128	0.2602958484
129	0.2592188774
130	0.25898181
131	0.2588338082
132	0.2586062944
133	0.2583431299
134	0.2581108741
135	0.2575579689
136	0.2573774172
137	0.2572228457
138	0.2571739965
139	0.2571235986
140	0.2567866684
141	0.2567181519
142	0.2558653511
143	0.2555912692
144	0.2555267025
145	0.2549418314
146	0.2548164849
147	0.2545182387
148	0.2543605525
149	0.2539122395
150	0.2531163269
151	0.2529070149
152	0.2527994444
153	0.2523389778
154	0.2522723456
155	0.2522308102
156	0.2519162551
157	0.2517381634
158	0.2514641759
159	0.251212995
160	0.2510347963
161	0.2507415397
162	0.2505603327
163	0.2503520201
164	0.250296544
165	0.2500500356
166	0.2498402231
167	0.2496086482
168	0.2494220805
169	0.2492888577
170	0.2492769601
171	0.248960986
172	0.2489526953
173	0.2486979841
174	0.2485063303
175	0.2481454616
176	0.2480640628
177	0.2480321193
178	0.2479558751
179	0.2476886742
180	0.2473554489
181	0.247002959
182	0.2467388401
183	0.2463747107
184	0.2461651693
185	0.2458469044
186	0.2456072526
187	0.2452952425
188	0.2448415417
189	0.2447164764
190	0.2444687511
191	0.2441049955
192	0.2437312864
193	0.2436544162
194	0.243130765
195	0.2427383335
196	0.2425397864
197	0.2424703494
198	0.2423874458
199	0.2419025076
200	0.2417943242
201	0.2411416483
202	0.2410522436
203	0.2408608218
204	0.2405512076
205	0.240272193
206	0.23979171
207	0.2394574791
208	0.2393876508
209	0.2391934092
210	0.239073775
211	0.2389429857
212	0.2386852199
213	0.23848285
214	0.2383246677
215	0.2382271341
216	0.2380527791
217	0.2379417926
218	0.237824119
219	0.2373868342
220	0.2371435636
221	0.2369596394
222	0.2365807253
