iter	Logloss
223	0.2364789869
224	0.2363186035
225	0.2359902673
226	0.2357114247
227	0.2355238467
228	0.2353680015
229	0.2346097427
230	0.2344430456
231	0.2341690297
232	0.2339928378
233	0.2331845447
234	0.2329730445
235	0.2327702344
236	0.2326448435
237	0.2325646745
238	0.2323271227
239	0.2321796379
240	0.2319400298
241	0.2317477555
242	0.2314496755
243	0.2313247848
244	0.2311954336
245	0.2310767162
246	0.2307933089
247	0.2305204501
248	0.2300944109
249	0.2299439784
250	0.229844691
251	0.2297992545
252	0.2295831119
253	0.2293447558
254	0.2291205758
255	0.2288946294
256	0.2287666084
257	0.2287414192
258	0.228594681
259	0.2283008503
260	0.2282674832
261	0.2280105434
262	0.2279809802
263	0.2279044376
264	0.227785464
265	0.2271284799
266	0.2270092811
267	0.2269085217
268	0.2264477922
269	0.2263587946
270	0.2259297698
271	0.2258884382
272	0.2257960766
273	0.2257435634
274	0.2255615028
275	0.2254573072
276	0.2251771874
277	0.2247240285
278	0.2245313337
279	0.2244655847
280	0.2240383211
281	0.2238253033
282	0.2236158235
283	0.2235499086
284	0.2234465371
285	0.2231223953
286	0.2230324425
287	0.2229954162
288	0.2228687414
289	0.2228216822
290	0.2224927601
291	0.2223908231
292	0.2223245343
293	0.2220862691
294	0.2220247368
295	0.2219369508
296	0.2216731496
297	0.2212301848
298	0.2210961677
299	0.2208423631
300	0.22078015
301	0.2205911798
302	0.2205249421
303	0.2202549148
304	0.2201538525
305	0.2200199651
306	0.2199354007
307	0.2195611751
308	0.2194175811
309	0.2193608414
310	0.2191919998
311	0.2191552731
312	0.2188704707
313	0.2188253842
314	0.2187542686
315	0.2184530354
316	0.2184392614
317	0.2183616589
318	0.2181839018
319	0.2180469959
320	0.2179691213
321	0.217920331
322	0.2178765481
323	0.2178589998
324	0.2175654898
325	0.217491086
326	0.2172331398
327	0.2171096051
328	0.2169882168
329	0.2168677781
330	0.2168097929
331	0.2166170874
332	0.2165232886
333	0.216403111
334	0.2163640514
335	0.2162696132
336	0.2160415591
337	0.2160152372
338	0.2157910804
339	0.2156377829
340	0.2154971232
341	0.2154691497
342	0.2153661421
343	0.2151451055
344	0.2150761496
345	0.2150207376
346	0.2149395905
347	0.2148318552
348	0.2146575066
349	0.2145919664
350	0.2143757915
351	0.2143432568
352	0.2142465275
353	0.2141664603
354	0.2138429525
355	0.2136872674
356	0.2135207126
357	0.2134837643
358	0.213383593
359	0.2132895545
360	0.2130321979
361	0.2128533527
362	0.2128048183
363	0.2127458294
364	0.2126593811
365	0.2124378213
366	0.2122220222
367	0.2121047562
368	0.2118950256
369	0.2118683885
370	0.211613128
371	0.211536011
372	0.2114350544
373	0.2113310259
374	0.2112879356
375	0.2111914475
376	0.2111062282
377	0.2108555153
378	0.2106068323
379	0.2105220915
380	0.2103381461
381	0.2102975805
382	0.2101810525
383	0.210120775
384	0.2100689927
385	0.20994536
386	0.2098692214
387	0.209767278
388	0.2096410108
389	0.2095499136
390	0.2095204264
391	0.2095054242
392	0.2094292354
393	0.2094064415
394	0.2092137704
395	0.2091707944
396	0.2090850736
397	0.2089259075
398	0.2088381056
399	0.208777291
400	0.2087220006
401	0.2086947226
402	0.2086023082
403	0.2084782989
404	0.2083992918
405	0.2082892529
406	0.2080946505
407	0.2080564825
408	0.2080070701
409	0.2078052767
410	0.2076161419
411	0.2075529504
412	0.2074844272
413	0.2073739835
414	0.2073579444
415	0.2073218474
416	0.2072014704
417	0.2069897136
418	0.2069541958
419	0.2065507544
420	0.2064477047
421	0.2062752897
422	0.2061426042
423	0.2060786015
424	0.2059337523
425	0.2057798849
426	0.2057119074
427	0.20568541
428	0.205621519
429	0.2055551998
430	0.2055339224
431	0.2054175978
432	0.2053217314
433	0.2051504544
434	0.205082245
435	0.2048673318
436	0.2048106273
437	0.2047294918
438	0.2046859772
439	0.2045960411
440	0.2045374243
441	0.2045040485
442	0.204429416
443	0.2042861408
444	0.2040588388
445	0.2040008826
446	0.2037178426
447	0.2036568506
448	0.2035879273
449	0.2034945051
450	0.2034131044
451	0.203315869
452	0.2032302943
453	0.2030865239
454	0.2030198164
455	0.2029072477
456	0.2028064439
457	0.2026655054
458	0.2025762558
459	0.2023801249
460	0.2022887908
461	0.202107815
462	0.2020384556
463	0.2019823492
464	0.2019372739
465	0.2016887504
466	0.2016347412
467	0.2014918491
468	0.2014668609
469	0.2014489423
470	0.2014126974
471	0.2012538033
472	0.201231665
473	0.2010841802
474	0.2010226459
475	0.2009821073
476	0.2008730716
477	0.2007162569
478	0.2006425856
479	0.2005391802
480	0.2004094561
481	0.2003344854
482	0.2002519977
483	0.2000367607
484	0.1999917566
485	0.19990749
486	0.1997691335
487	0.1995610771
488	0.1995310133
489	0.1994305286
490	0.1994144072
491	0.1993630323
492	0.1993489907
493	0.1993122092
494	0.1992921283
495	0.1991500382
496	0.1990949266
497	0.1990675607
498	0.1989156183
499	0.1988975754
